# frame,plate_center
# stamp,1.75639e+09
index,x,y,z
0,0.349708,1.10031,0.05
1,0.325263,1.10031,0.05
2,0.298901,1.09983,0.05
3,0.274456,1.09839,0.05
4,0.227963,1.096,0.05
5,0.203518,1.09408,0.05
6,0.175718,1.09025,0.05
7,0.146959,1.08785,0.05
8,0.116283,1.08593,0.05
9,0.0918383,1.08593,0.05
10,0.0568485,1.20384,0.05
11,0.0324036,1.20384,0.05
12,0.00795872,1.20384,0.05
13,-0.0308655,1.08497,0.05
14,-0.0553104,1.08353,0.05
15,-0.0879036,1.08306,0.05
16,-0.112349,1.08306,0.05
17,-0.154049,1.08306,0.05
