# frame,plate_center
# stamp,1.75639e+09
index,x,y,z
0,0.347621,1.09719,0.05
1,0.325073,1.09719,0.05
2,0.305583,1.08802,0.05
3,0.286092,1.08802,0.05
4,0.266219,1.0884,0.05
5,0.246728,1.0884,0.05
6,0.227238,1.08802,0.05
